,ccdVisitId,visitID,ra,decl,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec
140,221579140,221579,54.9688003,-42.3668268,54.8281166,-42.4867255,54.8092088,-42.2607963,55.1089092,-42.2467816,55.128906,-42.4726294
141,221579141,221579,55.3290305,-42.8201304,55.1880371,-42.9404707,55.1677706,-42.7146309,55.469444,-42.6996339,55.4907888,-42.9253786
142,221579142,221579,55.3071746,-42.5856663,55.1666999,-42.7059823,55.1465134,-42.4801318,55.4470636,-42.4652014,55.4683297,-42.6909616
143,221579143,221579,55.2857658,-42.3514197,55.1457523,-42.4716579,55.1257674,-42.2458094,55.425198,-42.231043,55.4462635,-42.4567905
144,221579144,221579,54.6329632,-42.145658,54.4921461,-42.265163,54.4744283,-42.0392052,54.7732163,-42.0260118,54.7920259,-42.2519027
145,221579145,221579,54.6139763,-41.9110471,54.4736609,-42.030481,54.4560733,-41.8045917,54.7537314,-41.7914794,54.7724054,-42.0172979
146,221579146,221579,54.5953866,-41.6768814,54.4556026,-41.7962531,54.4380883,-41.5704622,54.7346107,-41.5573872,54.7532108,-41.7831099
147,221579147,221579,54.9487366,-42.1312455,54.8085614,-42.2510868,54.7897718,-42.0251974,55.0883389,-42.0112678,55.108213,-42.2370745
148,221579148,221579,54.9286734,-41.8965312,54.7889857,-42.0162919,54.7703498,-41.7904737,55.0677874,-41.7766488,55.0875158,-42.0023857
149,221579149,221579,54.9092715,-41.6627645,54.7701597,-41.7824842,54.7515076,-41.5567662,55.0478142,-41.5429322,55.0675518,-41.7685637
150,221579150,221579,55.2651096,-42.1157041,55.1256325,-42.2359001,55.1057052,-42.0100998,55.4039975,-41.9953809,55.4250111,-42.2210865
151,221579151,221579,55.2434991,-41.8816707,55.1045619,-42.0018109,55.0846839,-41.776084,55.3818485,-41.7614114,55.4028111,-41.9870452
152,221579152,221579,55.2224489,-41.6473047,55.083968,-41.7673196,55.0643008,-41.5416858,55.3603408,-41.5271762,55.381101,-41.7527164
153,221579153,221579,54.5763952,-41.4413518,54.4370354,-41.5605762,54.4197995,-41.3349037,54.7151981,-41.3220178,54.7335134,-41.5476179
154,221579154,221579,54.5578066,-41.2068449,54.4189723,-41.325973,54.4018259,-41.1004576,54.6960793,-41.0876117,54.7143196,-41.3130593
155,221579155,221579,54.5396891,-40.9731066,54.401366,-41.0921187,54.3843279,-40.8667845,54.6774536,-40.8540034,54.6955727,-41.0792683
156,221579156,221579,54.8893462,-41.427033,54.7506551,-41.5465932,54.7322933,-41.3209935,55.0274669,-41.3073672,55.0469189,-41.5328831
157,221579157,221579,54.8694443,-41.193281,54.7312513,-41.3127274,54.7130143,-41.0872833,55.0070571,-41.0737359,55.0263923,-41.2991015
158,221579158,221579,54.8498592,-40.9591305,54.7122478,-41.078498,54.6939876,-40.8532408,54.9868937,-40.8396762,55.0062462,-41.0648528
159,221579159,221579,55.2014967,-41.4122624,55.0635816,-41.5322093,55.0439301,-41.306704,55.3388353,-41.2922185,55.3595758,-41.5176294
160,221579160,221579,55.1802965,-41.1783432,55.042873,-41.2981635,55.023352,-41.0728085,55.3171407,-41.0584331,55.3377396,-41.2836885
161,221579161,221579,55.1598795,-40.9444861,55.0229584,-41.0641689,55.0035677,-40.8389952,55.2962257,-40.8247237,55.3166949,-41.0498018
162,221579162,221579,55.7193419,-43.5071168,55.57764,-43.6279095,55.5557587,-43.4023959,55.8604435,-43.3861404,55.8834088,-43.6115484
163,221579163,221579,55.6960018,-43.2735139,55.5547972,-43.3943057,55.5330294,-43.1686895,55.8366074,-43.1525496,55.8594439,-43.3780566
164,221579164,221579,55.6734273,-43.0392526,55.5326457,-43.1599804,55.5111468,-42.934283,55.8136199,-42.918366,55.8361915,-43.1439537
165,221579165,221579,56.0417486,-43.4898397,55.9007318,-43.6109703,55.8778419,-43.3855614,56.1821597,-43.3685349,56.2061131,-43.5938248
166,221579166,221579,56.0173624,-43.2556523,55.8768318,-43.3767695,55.8540779,-43.151259,56.1572828,-43.134371,56.1811094,-43.3597588
167,221579167,221579,55.9929179,-43.0217474,55.8529686,-43.1428919,55.8301834,-42.9173185,56.1322622,-42.9004496,56.1561243,-43.1259026
168,221579168,221579,56.3634975,-43.470878,56.2232809,-43.5923909,56.1992306,-43.3671103,56.5031023,-43.3491995,56.5282222,-43.5743464
169,221579169,221579,56.3380519,-43.2371943,56.1983435,-43.3587019,56.1743822,-43.1333241,56.4771553,-43.1155365,56.5021749,-43.3407824
170,221579170,221579,56.3128326,-43.0038433,56.1736432,-43.125336,56.1497533,-42.8998904,56.4514161,-42.8822063,56.4763727,-43.1075199
171,221579171,221579,55.6493152,-42.8036188,55.5090403,-42.92432,55.4876474,-42.6985836,55.7889918,-42.6827627,55.8114647,-42.9083961
172,221579172,221579,55.6267563,-42.5692805,55.4870283,-42.6899686,55.4656737,-42.4642173,55.7658931,-42.4484526,55.7883287,-42.6740946
173,221579173,221579,55.6041074,-42.3351674,55.4648677,-42.455789,55.4436494,-42.2300494,55.742755,-42.2144136,55.7650463,-42.4400483
174,221579174,221579,55.96852,-42.7863435,55.8290244,-42.9074212,55.8064481,-42.6817971,56.1074162,-42.6651224,56.1310627,-42.8906264
175,221579175,221579,55.9444292,-42.5523567,55.8053732,-42.6733514,55.7830143,-42.4477118,56.0828708,-42.4312238,56.1063169,-42.6567481
176,221579176,221579,55.9207497,-42.3182015,55.7822719,-42.4391782,55.7598895,-42.2135518,56.05863,-42.1971013,56.0820848,-42.4226048
177,221579177,221579,56.2863786,-42.7683294,56.1476263,-42.8897412,56.1239723,-42.6642431,56.4245212,-42.6467818,56.4492519,-42.8721488
178,221579178,221579,56.2611448,-42.534277,56.1229392,-42.6556633,56.099308,-42.4301486,56.3987481,-42.4127698,56.4234403,-42.6381442
179,221579179,221579,56.2363541,-42.3007331,56.098655,-42.4220539,56.0751165,-42.1965605,56.3734429,-42.1792936,56.3980506,-42.4046586
180,221579180,221579,55.5817644,-42.0998898,55.4429974,-42.2204178,55.4219501,-41.994723,55.7199286,-41.9792267,55.7420664,-42.2048267
181,221579181,221579,55.5595907,-41.865603,55.4213033,-41.9860377,55.4004249,-41.7604021,55.6972832,-41.745059,55.7192508,-41.9705867
182,221579182,221579,55.5377521,-41.6316564,55.3999502,-41.7519808,55.3792193,-41.5264422,55.6749546,-41.5112287,55.6967785,-41.7366632
183,221579183,221579,55.8972584,-42.0831841,55.7592194,-42.2040447,55.7370816,-41.978454,56.034697,-41.9622126,56.0579222,-42.1876825
184,221579184,221579,55.8740656,-41.8488336,55.7365248,-41.9696028,55.7144956,-41.744086,56.0110035,-41.7279641,56.0341094,-41.9533644
185,221579185,221579,55.8505231,-41.6151505,55.713509,-41.7358293,55.691543,-41.5104088,55.9869285,-41.494374,56.0099753,-41.7196728
